row_id,gmaps_dist,gmaps_duration
0,18754.0,2236.0
1,2847.0,522.0
2,14743.0,1916.0
3,1724.0,512.0
4,2394.0,611.0
5,1083.0,289.0
6,3866.0,698.0
7,5843.0,903.0
8,351.0,136.0
9,2794.0,688.0
10,2554.0,669.0
11,1135.0,345.0
13,1658.0,504.0
14,4868.0,1043.0
15,3767.0,723.0
16,3061.0,611.0
18,4970.0,1287.0
19,1771.0,410.0
21,2007.0,496.0
22,949.0,266.0
23,1425.0,356.0
24,3475.0,728.0
25,4400.0,599.0
26,8475.0,1402.0
27,3758.0,883.0
28,3455.0,462.0
29,0.0,0.0
30,2106.0,571.0
31,7562.0,736.0
32,1335.0,228.0
33,2274.0,475.0
34,7543.0,761.0
35,598.0,191.0
37,1265.0,365.0
38,2660.0,880.0
39,2287.0,571.0
40,4664.0,1247.0
41,7447.0,712.0
42,4592.0,834.0
43,4577.0,1072.0
44,5054.0,1332.0
45,1307.0,345.0
46,1810.0,591.0
47,6774.0,1299.0
49,678.0,233.0
50,22845.0,1398.0
51,22484.0,1381.0
52,9606.0,1265.0
53,3704.0,982.0
54,2428.0,529.0
55,394.0,165.0
56,3127.0,803.0
57,1260.0,380.0
58,4028.0,874.0
59,2239.0,527.0
60,2863.0,822.0
61,1920.0,340.0
62,1888.0,482.0
63,3157.0,601.0
64,1061.0,267.0
65,4190.0,1023.0
66,1331.0,431.0
67,4682.0,1166.0
68,2443.0,858.0
69,2436.0,597.0
70,2918.0,666.0
71,2400.0,626.0
72,3621.0,873.0
73,1105.0,257.0
74,2623.0,644.0
75,2022.0,572.0
76,7675.0,988.0
77,1252.0,281.0
78,1203.0,352.0
79,19884.0,1244.0
80,4356.0,783.0
81,6522.0,1132.0
82,1888.0,304.0
83,3438.0,679.0
84,6474.0,1357.0
86,3950.0,711.0
87,4459.0,816.0
88,781.0,252.0
89,4455.0,1299.0
90,657.0,252.0
91,20078.0,1133.0
92,2488.0,686.0
93,23039.0,1468.0
94,4050.0,1064.0
95,11257.0,1237.0
96,15779.0,828.0
97,2923.0,785.0
98,17107.0,1860.0
99,3352.0,771.0
100,15765.0,1571.0
101,1307.0,440.0
102,3758.0,955.0
103,1571.0,535.0
104,1482.0,245.0
105,3241.0,547.0
106,3359.0,883.0
107,3170.0,873.0
108,4103.0,908.0
109,8296.0,845.0
110,3757.0,924.0
111,3350.0,866.0
112,2341.0,674.0
113,1689.0,385.0
114,1328.0,497.0
115,1515.0,251.0
116,2879.0,549.0
118,3270.0,815.0
119,6881.0,1088.0
120,24515.0,1523.0
121,4347.0,668.0
122,3136.0,772.0
123,3513.0,856.0
124,2766.0,640.0
125,7534.0,1305.0
126,2292.0,460.0
127,2600.0,723.0
128,2649.0,645.0
129,25664.0,1774.0
130,1421.0,360.0
131,1671.0,454.0
132,1967.0,721.0
133,1773.0,514.0
134,8753.0,703.0
135,1762.0,410.0
136,3784.0,740.0
137,1495.0,493.0
138,7796.0,458.0
139,5159.0,1195.0
140,4704.0,699.0
141,8451.0,1422.0
142,2269.0,727.0
143,3063.0,617.0
144,1178.0,365.0
145,5984.0,883.0
146,12798.0,2121.0
147,2482.0,436.0
148,1948.0,574.0
149,3371.0,908.0
150,516.0,87.0
151,1781.0,556.0
152,1982.0,536.0
153,8423.0,1021.0
154,28034.0,1903.0
155,4506.0,631.0
156,10414.0,868.0
157,4166.0,478.0
158,1222.0,400.0
159,8687.0,1325.0
160,5386.0,1041.0
161,1577.0,414.0
162,3637.0,997.0
163,1474.0,347.0
164,2676.0,729.0
165,3674.0,616.0
166,3683.0,1044.0
167,1967.0,472.0
168,1005.0,314.0
169,1665.0,529.0
170,2646.0,769.0
171,4168.0,792.0
172,2360.0,752.0
173,2739.0,633.0
